set	category	size	url	local_path	rationale
cellsens-feature	cellsens	86776904	https://downloads.openmicroscopy.org/images/CellSens/evident/_Image_V4.1_FL_2D_/stack10005/frame_t_0.ets	external-fixtures/data/cellsens/downloads.openmicroscopy.org/evident/_Image_V4.1_FL_2D_/stack10005/frame_t_0.ets	Moderate-size public files for broader format feature coverage.
cellsens-feature	cellsens	87799619	https://downloads.openmicroscopy.org/images/CellSens/evident/_Image_V4.1_FL_2D_/stack10002/frame_t_0.ets	external-fixtures/data/cellsens/downloads.openmicroscopy.org/evident/_Image_V4.1_FL_2D_/stack10002/frame_t_0.ets	Moderate-size public files for broader format feature coverage.
cellsens-feature	cellsens	93759202	https://downloads.openmicroscopy.org/images/CellSens/evident/_Image_V4.1_BF_/stack10002/frame_t.ets	external-fixtures/data/cellsens/downloads.openmicroscopy.org/evident/_Image_V4.1_BF_/stack10002/frame_t.ets	Moderate-size public files for broader format feature coverage.
cellsens-feature	cellsens	105417269	https://downloads.openmicroscopy.org/images/CellSens/evident/_Image_V4.1_BF_/stack10005/frame_t.ets	external-fixtures/data/cellsens/downloads.openmicroscopy.org/evident/_Image_V4.1_BF_/stack10005/frame_t.ets	Moderate-size public files for broader format feature coverage.
cellsens-feature	cellsens	355503856	https://downloads.openmicroscopy.org/images/CellSens/evident/_Image_V4.1_FL_3D_/stack10002/frame_t_0.ets	external-fixtures/data/cellsens/downloads.openmicroscopy.org/evident/_Image_V4.1_FL_3D_/stack10002/frame_t_0.ets	Moderate-size public files for broader format feature coverage.
cv7000-smoke	cv7000	346	https://downloads.openmicroscopy.org/images/CV7000/cpg0016/Dest21053D1-15214/Dest210531-152149.wpi	external-fixtures/data/cv7000/downloads.openmicroscopy.org/cpg0016/Dest21053D1-15214/Dest210531-152149.wpi	Smallest public files for fast external smoke coverage.
cv7000-smoke	cv7000	741	https://downloads.openmicroscopy.org/images/CV7000/cpg0016/Dest21053D1-15214/1038480001_PerkinElmer_CellCarrier-384-Ultra.wpp	external-fixtures/data/cv7000/downloads.openmicroscopy.org/cpg0016/Dest21053D1-15214/1038480001_PerkinElmer_CellCarrier-384-Ultra.wpp	Smallest public files for fast external smoke coverage.
cv7000-smoke	cv7000	2001522	https://downloads.openmicroscopy.org/images/CV7000/cpg0016/Dest21053D1-15214/DC_DCAM%231_CAM3_BIN2.tif	external-fixtures/data/cv7000/downloads.openmicroscopy.org/cpg0016/Dest21053D1-15214/DC_DCAM%231_CAM3_BIN2.tif	Smallest public files for fast external smoke coverage.
cv7000-structured-smoke	cv7000	346	https://downloads.openmicroscopy.org/images/CV7000/cpg0016/Dest21053D1-15214/Dest210531-152149.wpi	external-fixtures/data/cv7000/downloads.openmicroscopy.org/cpg0016/Dest21053D1-15214/Dest210531-152149.wpi	Targeted structured smoke set; keeps the acquisition index with a matching acquisition-prefix TIFF.
cv7000-structured-smoke	cv7000	741	https://downloads.openmicroscopy.org/images/CV7000/cpg0016/Dest21053D1-15214/1038480001_PerkinElmer_CellCarrier-384-Ultra.wpp	external-fixtures/data/cv7000/downloads.openmicroscopy.org/cpg0016/Dest21053D1-15214/1038480001_PerkinElmer_CellCarrier-384-Ultra.wpp	Targeted structured smoke set; plate context for the CV7000 acquisition.
