set	category	size	url	local_path	rationale
hamamatsu-ndpi-feature	hamamatsu-ndpi	400701142	https://downloads.openmicroscopy.org/images/Hamamatsu-NDPI/openslide/CMU-2/CMU-2.ndpi	external-fixtures/data/hamamatsu-ndpi/downloads.openmicroscopy.org/openslide/CMU-2/CMU-2.ndpi	Moderate-size public files for broader format feature coverage.
hamamatsu-ndpi-regression-large	hamamatsu-ndpi	2106109404	https://downloads.openmicroscopy.org/images/Hamamatsu-NDPI/hamamatsu/DM0014%20-%202020-04-02%2011.10.47.ndpi	external-fixtures/data/hamamatsu-ndpi/downloads.openmicroscopy.org/hamamatsu/DM0014%20-%202020-04-02%2011.10.47.ndpi	Large public regression/stress files; not for routine CI.
hamamatsu-ndpi-regression-large	hamamatsu-ndpi	2817876014	https://downloads.openmicroscopy.org/images/Hamamatsu-NDPI/hamamatsu/DM0014%20-%202020-04-02%2010.25.21.ndpi	external-fixtures/data/hamamatsu-ndpi/downloads.openmicroscopy.org/hamamatsu/DM0014%20-%202020-04-02%2010.25.21.ndpi	Large public regression/stress files; not for routine CI.
hamamatsu-ndpi-regression-large	hamamatsu-ndpi	4508030965	https://downloads.openmicroscopy.org/images/Hamamatsu-NDPI/imagesc-84874/Dguok_A_6275_Con_OV_01.ndpi	external-fixtures/data/hamamatsu-ndpi/downloads.openmicroscopy.org/imagesc-84874/Dguok_A_6275_Con_OV_01.ndpi	Large public regression/stress files; not for routine CI.
hamamatsu-vms-smoke	hamamatsu-vms	711	https://downloads.openmicroscopy.org/images/Hamamatsu-VMS/openslide/CMU-1/CMU-1-40x%20-%202010-01-12%2013.24.05.vms	external-fixtures/data/hamamatsu-vms/downloads.openmicroscopy.org/openslide/CMU-1/CMU-1-40x%20-%202010-01-12%2013.24.05.vms	Smallest public files for fast external smoke coverage.
hamamatsu-vms-smoke	hamamatsu-vms	826	https://downloads.openmicroscopy.org/images/Hamamatsu-VMS/openslide/CMU-2/CMU-2-40x%20-%202010-01-12%2013.38.58.vms	external-fixtures/data/hamamatsu-vms/downloads.openmicroscopy.org/openslide/CMU-2/CMU-2-40x%20-%202010-01-12%2013.38.58.vms	Smallest public files for fast external smoke coverage.
hamamatsu-vms-smoke	hamamatsu-vms	44802	https://downloads.openmicroscopy.org/images/Hamamatsu-VMS/openslide/CMU-1/CMU-1-40x%20-%202010-01-12%2013.24.05_macro.jpg	external-fixtures/data/hamamatsu-vms/downloads.openmicroscopy.org/openslide/CMU-1/CMU-1-40x%20-%202010-01-12%2013.24.05_macro.jpg	Smallest public files for fast external smoke coverage.
hamamatsu-vms-feature	hamamatsu-vms	55761574	https://downloads.openmicroscopy.org/images/Hamamatsu-VMS/openslide/CMU-1/CMU-1-40x%20-%202010-01-12%2013.24.05%280%2C1%29.jpg	external-fixtures/data/hamamatsu-vms/downloads.openmicroscopy.org/openslide/CMU-1/CMU-1-40x%20-%202010-01-12%2013.24.05%280%2C1%29.jpg	Moderate-size public files for broader format feature coverage.
hamamatsu-vms-feature	hamamatsu-vms	230305891	https://downloads.openmicroscopy.org/images/Hamamatsu-VMS/openslide/CMU-3/CMU-3-40x%20-%202010-01-12%2013.57.09%280%2C1%29.jpg	external-fixtures/data/hamamatsu-vms/downloads.openmicroscopy.org/openslide/CMU-3/CMU-3-40x%20-%202010-01-12%2013.57.09%280%2C1%29.jpg	Moderate-size public files for broader format feature coverage.
hamamatsu-vms-feature	hamamatsu-vms	247708652	https://downloads.openmicroscopy.org/images/Hamamatsu-VMS/openslide/CMU-1/CMU-1-40x%20-%202010-01-12%2013.24.05%281%2C0%29.jpg	external-fixtures/data/hamamatsu-vms/downloads.openmicroscopy.org/openslide/CMU-1/CMU-1-40x%20-%202010-01-12%2013.24.05%281%2C0%29.jpg	Moderate-size public files for broader format feature coverage.
hamamatsu-vms-feature	hamamatsu-vms	271433622	https://downloads.openmicroscopy.org/images/Hamamatsu-VMS/openslide/CMU-3/CMU-3-40x%20-%202010-01-12%2013.57.09%281%2C0%29.jpg	external-fixtures/data/hamamatsu-vms/downloads.openmicroscopy.org/openslide/CMU-3/CMU-3-40x%20-%202010-01-12%2013.57.09%281%2C0%29.jpg	Moderate-size public files for broader format feature coverage.
hamamatsu-vms-feature	hamamatsu-vms	302191597	https://downloads.openmicroscopy.org/images/Hamamatsu-VMS/openslide/CMU-2/CMU-2-40x%20-%202010-01-12%2013.38.58%281%2C0%29.jpg	external-fixtures/data/hamamatsu-vms/downloads.openmicroscopy.org/openslide/CMU-2/CMU-2-40x%20-%202010-01-12%2013.38.58%281%2C0%29.jpg	Moderate-size public files for broader format feature coverage.
hcs-smoke	hcs	524340	https://downloads.openmicroscopy.org/images/HCS/BBBC/BBBC001/AS_09125_050118150001_A03f00d0.DIB	external-fixtures/data/hcs/downloads.openmicroscopy.org/BBBC/BBBC001/AS_09125_050118150001_A03f00d0.DIB	Smallest public files for fast external smoke coverage.
hcs-smoke	hcs	524340	https://downloads.openmicroscopy.org/images/HCS/BBBC/BBBC001/AS_09125_050118150001_A03f01d0.DIB	external-fixtures/data/hcs/downloads.openmicroscopy.org/BBBC/BBBC001/AS_09125_050118150001_A03f01d0.DIB	Smallest public files for fast external smoke coverage.
hcs-smoke	hcs	524340	https://downloads.openmicroscopy.org/images/HCS/BBBC/BBBC001/AS_09125_050118150001_A03f02d0.DIB	external-fixtures/data/hcs/downloads.openmicroscopy.org/BBBC/BBBC001/AS_09125_050118150001_A03f02d0.DIB	Smallest public files for fast external smoke coverage.
ics-smoke	ics	477	https://downloads.openmicroscopy.org/images/ICS/gh-4197/20240612_training_test-tiles_01_stitched.ics	external-fixtures/data/ics/downloads.openmicroscopy.org/gh-4197/20240612_training_test-tiles_01_stitched.ics	Smallest public files for fast external smoke coverage.
ics-smoke	ics	4373	https://downloads.openmicroscopy.org/images/ICS/jan/benchmark_v1_2018_x64y64z5c2s1t11_w1Laser4054BD4BP_5c8bc101d6559_hrm.ics	external-fixtures/data/ics/downloads.openmicroscopy.org/jan/benchmark_v1_2018_x64y64z5c2s1t11_w1Laser4054BD4BP_5c8bc101d6559_hrm.ics	Smallest public files for fast external smoke coverage.
ics-smoke	ics	81920	https://downloads.openmicroscopy.org/images/ICS/jan/benchmark_v1_2018_x64y64z5c2s1t11_w1Laser4054BD4BP_5c8bc101d6559_hrm.ids	external-fixtures/data/ics/downloads.openmicroscopy.org/jan/benchmark_v1_2018_x64y64z5c2s1t11_w1Laser4054BD4BP_5c8bc101d6559_hrm.ids	Smallest public files for fast external smoke coverage.
ics-regression-large	ics	1267924800	https://downloads.openmicroscopy.org/images/ICS/gh-4197/20240612_training_test-tiles_01_stitched.ids	external-fixtures/data/ics/downloads.openmicroscopy.org/gh-4197/20240612_training_test-tiles_01_stitched.ids	Large public regression/stress files; not for routine CI.
imaris-ims-smoke	imaris-ims	64184	https://downloads.openmicroscopy.org/images/Imaris-IMS/davemason/Convallaria_3C_10T_confocal.txt	external-fixtures/data/imaris-ims/downloads.openmicroscopy.org/davemason/Convallaria_3C_10T_confocal.txt	Smallest public files for fast external smoke coverage.
imaris-ims-smoke	imaris-ims	64190	https://downloads.openmicroscopy.org/images/Imaris-IMS/davemason/Convallaria_3C_1T_confocal.txt	external-fixtures/data/imaris-ims/downloads.openmicroscopy.org/davemason/Convallaria_3C_1T_confocal.txt	Smallest public files for fast external smoke coverage.
imaris-ims-smoke	imaris-ims	64728	https://downloads.openmicroscopy.org/images/Imaris-IMS/davemason/Convallaria_3C_3T_35Z_confocal.txt	external-fixtures/data/imaris-ims/downloads.openmicroscopy.org/davemason/Convallaria_3C_3T_35Z_confocal.txt	Smallest public files for fast external smoke coverage.
imaris-ims-feature	imaris-ims	64193570	https://downloads.openmicroscopy.org/images/Imaris-IMS/davemason/Convallaria_3C_10T_confocal.ims	external-fixtures/data/imaris-ims/downloads.openmicroscopy.org/davemason/Convallaria_3C_10T_confocal.ims	Moderate-size public files for broader format feature coverage.
imaris-ims-feature	imaris-ims	69711068	https://downloads.openmicroscopy.org/images/Imaris-IMS/davemason/Convallaria_3C_3T_2x2grid_confocal_IMS3.ims	external-fixtures/data/imaris-ims/downloads.openmicroscopy.org/davemason/Convallaria_3C_3T_2x2grid_confocal_IMS3.ims	Moderate-size public files for broader format feature coverage.
imaris-ims-feature	imaris-ims	70168328	https://downloads.openmicroscopy.org/images/Imaris-IMS/davemason/Convallaria_3C_3T_2x2grid_confocal.ims	external-fixtures/data/imaris-ims/downloads.openmicroscopy.org/davemason/Convallaria_3C_3T_2x2grid_confocal.ims	Moderate-size public files for broader format feature coverage.
imaris-ims-feature	imaris-ims	71325474	https://downloads.openmicroscopy.org/images/Imaris-IMS/davemason/Convallaria_3C_10T_confocal_IMS3.ims	external-fixtures/data/imaris-ims/downloads.openmicroscopy.org/davemason/Convallaria_3C_10T_confocal_IMS3.ims	Moderate-size public files for broader format feature coverage.
imaris-ims-feature	imaris-ims	109803811	https://downloads.openmicroscopy.org/images/Imaris-IMS/bitplane/performance/performanceTestImage.ims	external-fixtures/data/imaris-ims/downloads.openmicroscopy.org/bitplane/performance/performanceTestImage.ims	Moderate-size public files for broader format feature coverage.
imaris-ims-regression-large	imaris-ims	992384326	https://downloads.openmicroscopy.org/images/Imaris-IMS/davemason/Convallaria_3C_3T_35Z_confocal_deconvolved.ims	external-fixtures/data/imaris-ims/downloads.openmicroscopy.org/davemason/Convallaria_3C_3T_35Z_confocal_deconvolved.ims	Large public regression/stress files; not for routine CI.
imaris-ims-regression-large	imaris-ims	992410732	https://downloads.openmicroscopy.org/images/Imaris-IMS/davemason/Convallaria_3C_3T_35Z_confocal.ims	external-fixtures/data/imaris-ims/downloads.openmicroscopy.org/davemason/Convallaria_3C_3T_35Z_confocal.ims	Large public regression/stress files; not for routine CI.
imaris-ims-regression-large	imaris-ims	2146982535	https://downloads.openmicroscopy.org/images/Imaris-IMS/davemason/TransFactors_2C_34Z_SRRF.ims	external-fixtures/data/imaris-ims/downloads.openmicroscopy.org/davemason/TransFactors_2C_34Z_SRRF.ims	Large public regression/stress files; not for routine CI.
imspector-feature	imspector	275404088	https://downloads.openmicroscopy.org/images/Imspector/zenodo-10476252/test.msr	external-fixtures/data/imspector/downloads.openmicroscopy.org/zenodo-10476252/test.msr	Moderate-size public files for broader format feature coverage.
incell2000-smoke	incell2000	8389074	https://downloads.openmicroscopy.org/images/InCell2000/INMAC384-DAPI-CM-eGFP_59223_1/A%20-%201%28fld%201%20wv%20Cy5%20-%20Cy5%29.tif	external-fixtures/data/incell2000/downloads.openmicroscopy.org/INMAC384-DAPI-CM-eGFP_59223_1/A%20-%201%28fld%201%20wv%20Cy5%20-%20Cy5%29.tif	Smallest public files for fast external smoke coverage.
incell2000-smoke	incell2000	8389074	https://downloads.openmicroscopy.org/images/InCell2000/INMAC384-DAPI-CM-eGFP_59223_1/A%20-%2010%28fld%201%20wv%20Cy5%20-%20Cy5%29.tif	external-fixtures/data/incell2000/downloads.openmicroscopy.org/INMAC384-DAPI-CM-eGFP_59223_1/A%20-%2010%28fld%201%20wv%20Cy5%20-%20Cy5%29.tif	Smallest public files for fast external smoke coverage.
incell2000-smoke	incell2000	8389074	https://downloads.openmicroscopy.org/images/InCell2000/INMAC384-DAPI-CM-eGFP_59223_1/A%20-%2011%28fld%201%20wv%20Cy5%20-%20Cy5%29.tif	external-fixtures/data/incell2000/downloads.openmicroscopy.org/INMAC384-DAPI-CM-eGFP_59223_1/A%20-%2011%28fld%201%20wv%20Cy5%20-%20Cy5%29.tif	Smallest public files for fast external smoke coverage.
incell3000-smoke	incell3000	410678	https://downloads.openmicroscopy.org/images/InCell3000/BBBC013/BBBC013_v1_images_bmp/Channel1-01-A-01.BMP	external-fixtures/data/incell3000/downloads.openmicroscopy.org/BBBC013/BBBC013_v1_images_bmp/Channel1-01-A-01.BMP	Smallest public files for fast external smoke coverage.
incell3000-smoke	incell3000	410678	https://downloads.openmicroscopy.org/images/InCell3000/BBBC013/BBBC013_v1_images_bmp/Channel1-02-A-02.BMP	external-fixtures/data/incell3000/downloads.openmicroscopy.org/BBBC013/BBBC013_v1_images_bmp/Channel1-02-A-02.BMP	Smallest public files for fast external smoke coverage.
incell3000-smoke	incell3000	410678	https://downloads.openmicroscopy.org/images/InCell3000/BBBC013/BBBC013_v1_images_bmp/Channel1-03-A-03.BMP	external-fixtures/data/incell3000/downloads.openmicroscopy.org/BBBC013/BBBC013_v1_images_bmp/Channel1-03-A-03.BMP	Smallest public files for fast external smoke coverage.
jdce-smoke	jdce	887	https://downloads.openmicroscopy.org/images/JDCE/molecular-devices/Acquisition/Z%20series%20with%20projection%20stack/Pollen%20Plate%20Demo_Z%20Series/Pollen%20Plate%20Demo%20Test_20240723_133212/autofocus/focus_report.txt	external-fixtures/data/jdce/downloads.openmicroscopy.org/molecular-devices/Acquisition/Z%20series%20with%20projection%20stack/Pollen%20Plate%20Demo_Z%20Series/Pollen%20Plate%20Demo%20Test_20240723_133212/autofocus/focus_report.txt	Smallest public files for fast external smoke coverage.
jdce-smoke	jdce	4709	https://downloads.openmicroscopy.org/images/JDCE/molecular-devices/Acquisition/Z%20series%20with%20projection%20stack/Pollen%20Plate%20Demo_Z%20Series/Pollen%20Plate%20Demo%20Test_20240723_133212/experiment/Pollen%20Plate%20Demo_Z%20Series.jdce	external-fixtures/data/jdce/downloads.openmicroscopy.org/molecular-devices/Acquisition/Z%20series%20with%20projection%20stack/Pollen%20Plate%20Demo_Z%20Series/Pollen%20Plate%20Demo%20Test_20240723_133212/experiment/Pollen%20Plate%20Demo_Z%20Series.jdce	Smallest public files for fast external smoke coverage.
jdce-smoke	jdce	22671	https://downloads.openmicroscopy.org/images/JDCE/molecular-devices/Acquisition/Z%20series%20with%20projection%20stack/Pollen%20Plate%20Demo_Z%20Series/Pollen%20Plate%20Demo%20Test_20240723_133212/autofocus/focus_search.csv	external-fixtures/data/jdce/downloads.openmicroscopy.org/molecular-devices/Acquisition/Z%20series%20with%20projection%20stack/Pollen%20Plate%20Demo_Z%20Series/Pollen%20Plate%20Demo%20Test_20240723_133212/autofocus/focus_search.csv	Smallest public files for fast external smoke coverage.
klb-smoke	klb	13353	https://downloads.openmicroscopy.org/images/KLB/idr0044/Mmu_E1_CAGTAG1.TM000000_timeFused_blending/SPM00_TM000000_CM00_CM01_CHN00.fusedStack_yzProjection.corrected.shifted.klb	external-fixtures/data/klb/downloads.openmicroscopy.org/idr0044/Mmu_E1_CAGTAG1.TM000000_timeFused_blending/SPM00_TM000000_CM00_CM01_CHN00.fusedStack_yzProjection.corrected.shifted.klb	Smallest public files for fast external smoke coverage.
klb-smoke	klb	13353	https://downloads.openmicroscopy.org/images/KLB/idr0044/Mmu_E1_CAGTAG1.TM000000_timeFused_blending/SPM00_TM000000_CM00_CM01_CHN01.fusedStack_yzProjection.corrected.shifted.klb	external-fixtures/data/klb/downloads.openmicroscopy.org/idr0044/Mmu_E1_CAGTAG1.TM000000_timeFused_blending/SPM00_TM000000_CM00_CM01_CHN01.fusedStack_yzProjection.corrected.shifted.klb	Smallest public files for fast external smoke coverage.
klb-smoke	klb	13353	https://downloads.openmicroscopy.org/images/KLB/idr0044/Mmu_E1_CAGTAG1.TM000001_timeFused_blending/SPM00_TM000001_CM00_CM01_CHN00.fusedStack_yzProjection.corrected.shifted.klb	external-fixtures/data/klb/downloads.openmicroscopy.org/idr0044/Mmu_E1_CAGTAG1.TM000001_timeFused_blending/SPM00_TM000001_CM00_CM01_CHN00.fusedStack_yzProjection.corrected.shifted.klb	Smallest public files for fast external smoke coverage.
leica-lif-smoke	leica-lif	196	https://downloads.openmicroscopy.org/images/Leica-LIF/seanwarren/150519_FRAP_test_ROIs_chromagreen/150519_FRAP_test_ROIs_chromagreen-junctions.mat	external-fixtures/data/leica-lif/downloads.openmicroscopy.org/seanwarren/150519_FRAP_test_ROIs_chromagreen/150519_FRAP_test_ROIs_chromagreen-junctions.mat	Smallest public files for fast external smoke coverage.
leica-lif-smoke	leica-lif	12800	https://downloads.openmicroscopy.org/images/Leica-LIF/seanwarren/150519_FRAP_test_ROIs_chromagreen/Thumbs.db	external-fixtures/data/leica-lif/downloads.openmicroscopy.org/seanwarren/150519_FRAP_test_ROIs_chromagreen/Thumbs.db	Smallest public files for fast external smoke coverage.
leica-lif-smoke	leica-lif	13150	https://downloads.openmicroscopy.org/images/Leica-LIF/seanwarren/150519_FRAP_test_ROIs_chromagreen/FRAP_000_1um.roi	external-fixtures/data/leica-lif/downloads.openmicroscopy.org/seanwarren/150519_FRAP_test_ROIs_chromagreen/FRAP_000_1um.roi	Smallest public files for fast external smoke coverage.
leica-lif-feature	leica-lif	111643445	https://downloads.openmicroscopy.org/images/Leica-LIF/zenodo-6606445/Project007.lif	external-fixtures/data/leica-lif/downloads.openmicroscopy.org/zenodo-6606445/Project007.lif	Moderate-size public files for broader format feature coverage.
leica-lif-feature	leica-lif	460639207	https://downloads.openmicroscopy.org/images/Leica-LIF/imagesc-110520/AMR1.lifext	external-fixtures/data/leica-lif/downloads.openmicroscopy.org/imagesc-110520/AMR1.lifext	Moderate-size public files for broader format feature coverage.
leica-lif-regression-large	leica-lif	3011996417	https://downloads.openmicroscopy.org/images/Leica-LIF/imagesc-110520/AMR1.lif	external-fixtures/data/leica-lif/downloads.openmicroscopy.org/imagesc-110520/AMR1.lif	Large public regression/stress files; not for routine CI.
leica-scn-feature	leica-scn	291812870	https://downloads.openmicroscopy.org/images/Leica-SCN/openslide/Leica-1/Leica-1.scn	external-fixtures/data/leica-scn/downloads.openmicroscopy.org/openslide/Leica-1/Leica-1.scn	Moderate-size public files for broader format feature coverage.
leica-scn-regression-large	leica-scn	2252519322	https://downloads.openmicroscopy.org/images/Leica-SCN/openslide/Leica-2/Leica-2.scn	external-fixtures/data/leica-scn/downloads.openmicroscopy.org/openslide/Leica-2/Leica-2.scn	Large public regression/stress files; not for routine CI.
leica-scn-regression-large	leica-scn	2993595082	https://downloads.openmicroscopy.org/images/Leica-SCN/openslide/Leica-3/Leica-3.scn	external-fixtures/data/leica-scn/downloads.openmicroscopy.org/openslide/Leica-3/Leica-3.scn	Large public regression/stress files; not for routine CI.
leica-xlef-smoke	leica-xlef	1532	https://downloads.openmicroscopy.org/images/Leica-XLEF/2020_06_23_sample%203%20U2OS/XLEF-LOF%202020_06_23_sample%203%20U2OS/XLEF-LOF%202020_06_23_sample%203%20U2OS.xlef	external-fixtures/data/leica-xlef/downloads.openmicroscopy.org/2020_06_23_sample%203%20U2OS/XLEF-LOF%202020_06_23_sample%203%20U2OS/XLEF-LOF%202020_06_23_sample%203%20U2OS.xlef	Smallest public files for fast external smoke coverage.
leica-xlef-smoke	leica-xlef	14621	https://downloads.openmicroscopy.org/images/Leica-XLEF/2020_06_23_sample%203%20U2OS/XLEF-LOF%202020_06_23_sample%203%20U2OS/Metadata/IOManagerConfiguation.xlif	external-fixtures/data/leica-xlef/downloads.openmicroscopy.org/2020_06_23_sample%203%20U2OS/XLEF-LOF%202020_06_23_sample%203%20U2OS/Metadata/IOManagerConfiguation.xlif	Smallest public files for fast external smoke coverage.
leica-xlef-smoke	leica-xlef	200601	https://downloads.openmicroscopy.org/images/Leica-XLEF/2020_06_23_sample%203%20U2OS/XLEF-LOF%202020_06_23_sample%203%20U2OS/Metadata/Series001.xlif	external-fixtures/data/leica-xlef/downloads.openmicroscopy.org/2020_06_23_sample%203%20U2OS/XLEF-LOF%202020_06_23_sample%203%20U2OS/Metadata/Series001.xlif	Smallest public files for fast external smoke coverage.
leica-xlef-smoke	leica-xlef	2554	https://downloads.openmicroscopy.org/images/Leica-XLEF/2020_06_23_sample%203%20U2OS/XLEF-LOF%202020_06_23_sample%203%20U2OS/Metadata/Series001_Lng_Processed001%20-%203D-Projection.xlif	external-fixtures/data/leica-xlef/downloads.openmicroscopy.org/2020_06_23_sample%203%20U2OS/XLEF-LOF%202020_06_23_sample%203%20U2OS/Metadata/Series001_Lng_Processed001%20-%203D-Projection.xlif	Smallest public files for fast external smoke coverage.
leica-xlef-smoke	leica-xlef	2668	https://downloads.openmicroscopy.org/images/Leica-XLEF/2020_06_23_sample%203%20U2OS/XLEF-LOF%202020_06_23_sample%203%20U2OS/Series001/Metadata/Series001_histo.xlif	external-fixtures/data/leica-xlef/downloads.openmicroscopy.org/2020_06_23_sample%203%20U2OS/XLEF-LOF%202020_06_23_sample%203%20U2OS/Series001/Metadata/Series001_histo.xlif	Smallest public files for fast external smoke coverage.
leica-xlef-smoke	leica-xlef	2702	https://downloads.openmicroscopy.org/images/Leica-XLEF/2020_06_23_sample%203%20U2OS/XLEF-LOF%202020_06_23_sample%203%20U2OS/Series001_Lng/Metadata/Series001_Lng_histo.xlif	external-fixtures/data/leica-xlef/downloads.openmicroscopy.org/2020_06_23_sample%203%20U2OS/XLEF-LOF%202020_06_23_sample%203%20U2OS/Series001_Lng/Metadata/Series001_Lng_histo.xlif	Smallest public files for fast external smoke coverage.
leica-xlef-feature	leica-xlef	50639053	https://downloads.openmicroscopy.org/images/Leica-XLEF/2020_06_23_sample%203%20U2OS/XLEF-LOF%202020_06_23_sample%203%20U2OS/Series001.lof	external-fixtures/data/leica-xlef/downloads.openmicroscopy.org/2020_06_23_sample%203%20U2OS/XLEF-LOF%202020_06_23_sample%203%20U2OS/Series001.lof	Moderate-size public files for broader format feature coverage.
leo-smoke	leo	298932	https://downloads.openmicroscopy.org/images/LEO/dmankus/2160grating%20512.tif	external-fixtures/data/leo/downloads.openmicroscopy.org/dmankus/2160grating%20512.tif	Smallest public files for fast external smoke coverage.
leo-smoke	leo	888791	https://downloads.openmicroscopy.org/images/LEO/dmankus/2160grating%201024.tif	external-fixtures/data/leo/downloads.openmicroscopy.org/dmankus/2160grating%201024.tif	Smallest public files for fast external smoke coverage.
leo-smoke	leo	3252534	https://downloads.openmicroscopy.org/images/LEO/zenodo-16760282/AWM2-HCF-7021-04_01%20-%20Wrong_Scale_Bar.tif	external-fixtures/data/leo/downloads.openmicroscopy.org/zenodo-16760282/AWM2-HCF-7021-04_01%20-%20Wrong_Scale_Bar.tif	Smallest public files for fast external smoke coverage.
metamorph-smoke	metamorph	6671	https://downloads.openmicroscopy.org/images/Metamorph/ssbd-repos-000232/FigureS2/CSV/DRD2_VE_211116_d7w3.csv	external-fixtures/data/metamorph/downloads.openmicroscopy.org/ssbd-repos-000232/FigureS2/CSV/DRD2_VE_211116_d7w3.csv	Smallest public files for fast external smoke coverage.
metamorph-smoke	metamorph	8794	https://downloads.openmicroscopy.org/images/Metamorph/ssbd-repos-000232/FigureS2/CSV/DRD2_VE_211116_d7w4.csv	external-fixtures/data/metamorph/downloads.openmicroscopy.org/ssbd-repos-000232/FigureS2/CSV/DRD2_VE_211116_d7w4.csv	Smallest public files for fast external smoke coverage.
metamorph-smoke	metamorph	11689	https://downloads.openmicroscopy.org/images/Metamorph/ssbd-repos-000232/FigureS2/CSV/DRD2_DA_211116_d7w1.csv	external-fixtures/data/metamorph/downloads.openmicroscopy.org/ssbd-repos-000232/FigureS2/CSV/DRD2_DA_211116_d7w1.csv	Smallest public files for fast external smoke coverage.
metaxpress-smoke	metaxpress	967	https://downloads.openmicroscopy.org/images/MetaXpress/idr0005/Primary_001/2011-04-19-plate-1.HTD	external-fixtures/data/metaxpress/downloads.openmicroscopy.org/idr0005/Primary_001/2011-04-19-plate-1.HTD	Smallest public files for fast external smoke coverage.
metaxpress-smoke	metaxpress	10987	https://downloads.openmicroscopy.org/images/MetaXpress/idr0005/Primary_001/2011-04-19-plate-1_A01_s1_thumb_%5BAEF33B1F-1D43-4BEA-B1A6-667C966E2729%5D.tif	external-fixtures/data/metaxpress/downloads.openmicroscopy.org/idr0005/Primary_001/2011-04-19-plate-1_A01_s1_thumb_%5BAEF33B1F-1D43-4BEA-B1A6-667C966E2729%5D.tif	Smallest public files for fast external smoke coverage.
metaxpress-smoke	metaxpress	10987	https://downloads.openmicroscopy.org/images/MetaXpress/idr0005/Primary_001/2011-04-19-plate-1_A01_s2_thumb_%5BCDBA09E1-EC1B-47D8-ADC0-B9E93AC0439D%5D.tif	external-fixtures/data/metaxpress/downloads.openmicroscopy.org/idr0005/Primary_001/2011-04-19-plate-1_A01_s2_thumb_%5BCDBA09E1-EC1B-47D8-ADC0-B9E93AC0439D%5D.tif	Smallest public files for fast external smoke coverage.
micro-manager-smoke	micro-manager	763	https://downloads.openmicroscopy.org/images/Micro-Manager/1.4.16/serge/display_and_comments.txt	external-fixtures/data/micro-manager/downloads.openmicroscopy.org/1.4.16/serge/display_and_comments.txt	Smallest public files for fast external smoke coverage.
micro-manager-smoke	micro-manager	8409863	https://downloads.openmicroscopy.org/images/Micro-Manager/1.4.16/serge/Pos0/img_000000000_00-BF0_000.tif	external-fixtures/data/micro-manager/downloads.openmicroscopy.org/1.4.16/serge/Pos0/img_000000000_00-BF0_000.tif	Smallest public files for fast external smoke coverage.
micro-manager-smoke	micro-manager	8409867	https://downloads.openmicroscopy.org/images/Micro-Manager/1.4.16/serge/Pos0/img_000000000_00-BF1_000.tif	external-fixtures/data/micro-manager/downloads.openmicroscopy.org/1.4.16/serge/Pos0/img_000000000_00-BF1_000.tif	Smallest public files for fast external smoke coverage.
mrc-smoke	mrc	8389632	https://downloads.openmicroscopy.org/images/MRC/EMDB/EMD-2225/EMD-2225.map	external-fixtures/data/mrc/downloads.openmicroscopy.org/EMDB/EMD-2225/EMD-2225.map	Smallest public files for fast external smoke coverage.
mrc-emdb-small	mrc	33024	https://raw.githubusercontent.com/ccpem/mrcfile/master/tests/test_data/EMD-3197.map	external-fixtures/data/mrc/raw.githubusercontent.com/ccpem/mrcfile/master/tests/test_data/EMD-3197.map	Targeted small EMDB map from mrcfile tests; bounded 20x20x20 float32 MRC candidate.
mrc-emdb-feature	mrc	315084	https://raw.githubusercontent.com/ccpem/mrcfile/master/tests/test_data/EMD-3001.map	external-fixtures/data/mrc/raw.githubusercontent.com/ccpem/mrcfile/master/tests/test_data/EMD-3001.map	Targeted EMDB MicroED map from mrcfile tests; larger bounded MRC feature candidate.
mrc-imod-signed-mode0	mrc	13952	http://bio3d.colorado.edu/imod/nightlyBuilds/ImodTests/fortIOtests/tst0.sbyte	external-fixtures/data/mrc/bio3d.colorado.edu/imod/nightlyBuilds/ImodTests/fortIOtests/tst0.sbyte	Tiny public IMOD fortIOtests signed mode-0 MRC; paired IMOD TIFF/MRC and signed-byte conversion tests provide known row-orientation evidence.
nd2-smoke	nd2	2569	https://downloads.openmicroscopy.org/images/ND2/jonas/512c/cag_p5_simgc_2511_70ms22s_crop_header.mat	external-fixtures/data/nd2/downloads.openmicroscopy.org/jonas/512c/cag_p5_simgc_2511_70ms22s_crop_header.mat	Smallest public files for fast external smoke coverage.
nd2-smoke	nd2	13131776	https://downloads.openmicroscopy.org/images/ND2/aryeh/MeOh_high_fluo_003.nd2	external-fixtures/data/nd2/downloads.openmicroscopy.org/aryeh/MeOh_high_fluo_003.nd2	Smallest public files for fast external smoke coverage.
nd2-smoke	nd2	13131776	https://downloads.openmicroscopy.org/images/ND2/aryeh/MeOh_high_fluo_007.nd2	external-fixtures/data/nd2/downloads.openmicroscopy.org/aryeh/MeOh_high_fluo_007.nd2	Smallest public files for fast external smoke coverage.
nd2-zenodo-vpa002-smoke	nd2	31506432	https://zenodo.org/records/8161776/files/2D%20500uM%20VPA002.nd2?download=1	external-fixtures/data/nd2/zenodo.org/records/8161776/files/2D%20500uM%20VPA002.nd2	Targeted public citable Zenodo candidate; direct per-file ND2 download from record 10.5281/zenodo.8161776.
